,review_id,review_text,review_text_translated,review_lang,review_rating,rating_helpfulness,review_datetime,review_add,product_capacity,product_color
0,r2ma3lkg5j5jb3,"Beautiful laptop. I’ve upgraded from the MacBook Air of old...so far this laptop has blown it away. It wasn’t overly pricey to be honest and I feel it’s worth the price. Overall look is great and keyboard feel is nice. Larger touchpad is great, I’ve paired my Magic Trackpad 2 with it as well.","Beautiful laptop. I’ve upgraded from the MacBook Air of old...so far this laptop has blown it away. It wasn’t overly pricey to be honest and I feel it’s worth the price. Overall look is great and keyboard feel is nice. Larger touchpad is great, I’ve paired my Magic Trackpad 2 with it as well.",English,5.0,289.0,2020-11-29,Capacity: 256GBColor: Space Gray,256GB,Space Gray
1,r2xa6kr3rqgrma,"I have two MacBook Airs (MBA), a 13"" and a 11, both with the previous form factor (the wide, body colored bezel around the screen, 1280x800 resolution) and this new 13"" MBA improves upon it in every way (almost) and makes it nearly perfect.Good:- SCREEN looks great!  2560x1600 resolution is bright and sharp and looks good with the thin black bezel.  I usually don't go above 50% brightness.- KEYBOARD is good.  Some have mentioned that it still sucks, but I find it much better than the older MBAs that I own and better than say, the Magic Keyboard.  Even with a thin silicone keyboard cover I find the typing experience to be much better and I can type faster and with fewer mistakes.- BATTERY LIFE is fantastic.  Haven't done any real testing yet and obviously it depends on a lot of factors (wifi usage, video streaming, HD vs 4k video viewing/processing/etc., screen brightness, type of app being used, etc.) but for my usage (mostly web browsing, video viewing on YouTube, accessing VPN for work (Citrix, EPIC), etc., it has been great.  Easily tops 10 hours and super impressed so far.- LOOKS GREAT.  Love the newer (I know that the actual exterior design is a few years old by now) design, looks and feels great.  Form factor is nice and it is a reasonable weight.- NO FAN.  That's awesome, as it not only stays quiet all the time but you also do not need to worry about blocking any fan vents on the bottom or back of the case while you have it on your lap.  Pretty amazing really for a laptop to have no fans.- PERFORMANCE.  It works great so far on what I have used it for, which is not terribly a lot, but it is what it is for a laptop using Apple silicon for the first time.  For just day to day use and things like Chrome, Office (Word, Excel), Citirx, EPIC, etc., it has been super smooth and fast.  Have not tried gaming yet but do not have high hopes given it is the base model with 7-core GPU.  Also, things like start up are noticeably faster with the M1 versus my 2020 iMac 27"" (top end) with Intel chips.- TOUCH ID is great still.  Works very fast and the button does not get greasy (which makes it not work well) like the old iPhone home buttons.  On the other hand, it should really have Face ID at this point.- APPLE ECOSYSTEM is great as usual and a real reason to get this MBA.  Apple Watch easily unlocks it (so you do not really need Face ID if you have the watch).  You can easily send/receive files using AirDrop or cast using AirPlay.  And so on and so forth.- BIG SUR comes preinstalled but you need to update to get 11.0.1.NOT GOOD:- WEBCAM still sucks.  Still low resolution and just does not look good in FaceTime, Teams, etc.  Shame that Apple is so slow to upgrade webcams on the Macs (the 27"" iMac FINALLY upgraded to 1080p front cams only a couple months ago... I got one and it looks so much better than this MBA's camera).- ONLY 2 PORTS.  Sad that this thing has only 2 USB-C ports (that cover thunderbolt 3, USB 3.1, charging, DisplayPort).  Given that it is used to charge, it leaves only one USB-C port for other use, pretty lame.  I wish they had squeezed (I think it would fit) a USB-A port so that I could plug in my wireless mouse USB-A dongle as I have never liked any bluetooth mouse, or at least one more USB-C port.- NEW TECH (Apple silicon) means the M1-optimized apps are still being rolled out, e.g. Photoshop still not available at release.- BATTERY still cannot be removed, no surprise here, but means that like all Apple mobile tech it will have a useable lifespan determined at least partly by the non-removable battery.  Easier to have an iPhone's battery replaced than a MBA I would imagine but hopefully it maintains a high level of performance for 4 years at the minimum.OVERALL:A few negatives (mostly the webcam) but enough significant improvements that this MBA is really a no-brainer for anyone needing a non-power notebook compute, especially if s/he is already in the Apple ecosystem.  Love it so far!","I have two MacBook Airs (MBA), a 13"" and a 11, both with the previous form factor (the wide, body colored bezel around the screen, 1280x800 resolution) and this new 13"" MBA improves upon it in every way (almost) and makes it nearly perfect.Good:- SCREEN looks great!  2560x1600 resolution is bright and sharp and looks good with the thin black bezel.  I usually don't go above 50% brightness.- KEYBOARD is good.  Some have mentioned that it still sucks, but I find it much better than the older MBAs that I own and better than say, the Magic Keyboard.  Even with a thin silicone keyboard cover I find the typing experience to be much better and I can type faster and with fewer mistakes.- BATTERY LIFE is fantastic.  Haven't done any real testing yet and obviously it depends on a lot of factors (wifi usage, video streaming, HD vs 4k video viewing/processing/etc., screen brightness, type of app being used, etc.) but for my usage (mostly web browsing, video viewing on YouTube, accessing VPN for work (Citrix, EPIC), etc., it has been great.  Easily tops 10 hours and super impressed so far.- LOOKS GREAT.  Love the newer (I know that the actual exterior design is a few years old by now) design, looks and feels great.  Form factor is nice and it is a reasonable weight.- NO FAN.  That's awesome, as it not only stays quiet all the time but you also do not need to worry about blocking any fan vents on the bottom or back of the case while you have it on your lap.  Pretty amazing really for a laptop to have no fans.- PERFORMANCE.  It works great so far on what I have used it for, which is not terribly a lot, but it is what it is for a laptop using Apple silicon for the first time.  For just day to day use and things like Chrome, Office (Word, Excel), Citirx, EPIC, etc., it has been super smooth and fast.  Have not tried gaming yet but do not have high hopes given it is the base model with 7-core GPU.  Also, things like start up are noticeably faster with the M1 versus my 2020 iMac 27"" (top end) with Intel chips.- TOUCH ID is great still.  Works very fast and the button does not get greasy (which makes it not work well) like the old iPhone home buttons.  On the other hand, it should really have Face ID at this point.- APPLE ECOSYSTEM is great as usual and a real reason to get this MBA.  Apple Watch easily unlocks it (so you do not really need Face ID if you have the watch).  You can easily send/receive files using AirDrop or cast using AirPlay.  And so on and so forth.- BIG SUR comes preinstalled but you need to update to get 11.0.1.NOT GOOD:- WEBCAM still sucks.  Still low resolution and just does not look good in FaceTime, Teams, etc.  Shame that Apple is so slow to upgrade webcams on the Macs (the 27"" iMac FINALLY upgraded to 1080p front cams only a couple months ago... I got one and it looks so much better than this MBA's camera).- ONLY 2 PORTS.  Sad that this thing has only 2 USB-C ports (that cover thunderbolt 3, USB 3.1, charging, DisplayPort).  Given that it is used to charge, it leaves only one USB-C port for other use, pretty lame.  I wish they had squeezed (I think it would fit) a USB-A port so that I could plug in my wireless mouse USB-A dongle as I have never liked any bluetooth mouse, or at least one more USB-C port.- NEW TECH (Apple silicon) means the M1-optimized apps are still being rolled out, e.g. Photoshop still not available at release.- BATTERY still cannot be removed, no surprise here, but means that like all Apple mobile tech it will have a useable lifespan determined at least partly by the non-removable battery.  Easier to have an iPhone's battery replaced than a MBA I would imagine but hopefully it maintains a high level of performance for 4 years at the minimum.OVERALL:A few negatives (mostly the webcam) but enough significant improvements that this MBA is really a no-brainer for anyone needing a non-power notebook compute, especially if s/he is already in the Apple ecosystem.  Love it so far!",English,5.0,202.0,2020-12-02,Capacity: 256GBColor: Space Gray,256GB,Space Gray
2,r2u37mcgx4amd6,No complains so far.  Very fast and performs great.  I had a 2014 MacBook Air and finally upgraded this year.  This is leagues beyond that entry and I’m very happy with this upgrade.,No complains so far.  Very fast and performs great.  I had a 2014 MacBook Air and finally upgraded this year.  This is leagues beyond that entry and I’m very happy with this upgrade.,English,5.0,231.0,2020-11-26,Capacity: 256GBColor: Gold,256GB,Gold
3,r1mdj8zt1bgs62,"Lightweight, blazing fast, easy to use, battery life is incredible with the new Apple M1 chip.  A typical Great Apple product.However, there is only a Thunderbolt port, so you now have to go out and buy a cable to convert USB to thunderbolt (if you want to use a backup hard drive) or other USB items, AND, I had to buy yet another cable to sync my phone's lightning port to the thunderbolt port on the computer. Total $56.I LOVE Apple product, and worked for them in my caerer, but I would wait on buying this version until the software for it has been developed.UPDATE: After several months of using this computer, I have have found several things of concern:1.  my notification center keeps disappearing, despite my constant reinstalling the widgets.2.  my computer's calendar, reminders, and photo stream do not sync with my IOS devices (iPhone & iPad).  If I add an item to calendar on my phone, it will appear on my mac but not vice versa.  Reminders will not sync regardless of which device I originate the item on.I have contacted Apple support on all these issues and they cannot solve the problem.IT APPEARS THAT THE BUGS HAVE NOT BEEN WORKED OUT, YET.  THINGS ARE MADDENINGLY CLUNKY!","Lightweight, blazing fast, easy to use, battery life is incredible with the new Apple M1 chip.  A typical Great Apple product.However, there is only a Thunderbolt port, so you now have to go out and buy a cable to convert USB to thunderbolt (if you want to use a backup hard drive) or other USB items, AND, I had to buy yet another cable to sync my phone's lightning port to the thunderbolt port on the computer. Total $56.I LOVE Apple product, and worked for them in my caerer, but I would wait on buying this version until the software for it has been developed.UPDATE: After several months of using this computer, I have have found several things of concern:1.  my notification center keeps disappearing, despite my constant reinstalling the widgets.2.  my computer's calendar, reminders, and photo stream do not sync with my IOS devices (iPhone & iPad).  If I add an item to calendar on my phone, it will appear on my mac but not vice versa.  Reminders will not sync regardless of which device I originate the item on.I have contacted Apple support on all these issues and they cannot solve the problem.IT APPEARS THAT THE BUGS HAVE NOT BEEN WORKED OUT, YET.  THINGS ARE MADDENINGLY CLUNKY!",English,3.0,106.0,2020-12-03,Capacity: 256GBColor: Silver,256GB,Silver
4,r5ueguatd3ejm,Bought this laptop bc i needed it for spring semester and i needed an upgrade from my heavy macbook pro. I go to work too so i needed something super light and thin i can just bring everywhere and slide it in my bag.I am obsessed with how fast this macbook is. The battery life is on point. I used it for movies and series at work and it lasted for 3 days. The processor is definitely sooo good. I open so many tabs at once and it has not lagged on me. The keyboard and trackpad is responsive.I love the color. The main reason why i bought this too. 😍😂I have no problems with it at all.Highly recommend,Bought this laptop bc i needed it for spring semester and i needed an upgrade from my heavy macbook pro. I go to work too so i needed something super light and thin i can just bring everywhere and slide it in my bag.I am obsessed with how fast this macbook is. The battery life is on point. I used it for movies and series at work and it lasted for 3 days. The processor is definitely sooo good. I open so many tabs at once and it has not lagged on me. The keyboard and trackpad is responsive.I love the color. The main reason why i bought this too. 😍😂I have no problems with it at all.Highly recommend,English,5.0,78.0,2021-01-30,Capacity: 512GBColor: Gold,512GB,Gold
5,r1d7hw55mv03oj,"Looked forward to this new MacBook Air.  Loved the Magic Keyboard, but everything else seems half-baked Apple.I didn't know enough to immerse myself in the (hard-to-find)  Essentials Manual before touching the FORCE touchpad.  Took a long time that to realize that ""force""  really meant FORCE (as in ""smash it down"" )  There is a System Preferences bypass, but I got embroiled in a DARK MODE display (black screen), missing cursor, and of course loss of Intel-chip based favorite apps which all took precedence over trying to find and read a possible Manual.  Help menu did not help..I tried, I really did.  Apple Support suggested and helped for 2 days, with hours spent trying over & over to erase, then Reinstall Big Sur  software, but 2 hours loading (for each of dozens of tries), then ""An error occurred preparing this update.  Please try again.""was too much, over and over.  This software is not ready for primetime.  Looking forward to AIR's next iteration.Meanwhile, I must be content with my older MacBook Pro, while MacBoo Air is returned:  ""rest in peace"".","Looked forward to this new MacBook Air.  Loved the Magic Keyboard, but everything else seems half-baked Apple.I didn't know enough to immerse myself in the (hard-to-find)  Essentials Manual before touching the FORCE touchpad.  Took a long time that to realize that ""force""  really meant FORCE (as in ""smash it down"" )  There is a System Preferences bypass, but I got embroiled in a DARK MODE display (black screen), missing cursor, and of course loss of Intel-chip based favorite apps which all took precedence over trying to find and read a possible Manual.  Help menu did not help..I tried, I really did.  Apple Support suggested and helped for 2 days, with hours spent trying over & over to erase, then Reinstall Big Sur  software, but 2 hours loading (for each of dozens of tries), then ""An error occurred preparing this update.  Please try again.""was too much, over and over.  This software is not ready for primetime.  Looking forward to AIR's next iteration.Meanwhile, I must be content with my older MacBook Pro, while MacBoo Air is returned:  ""rest in peace"".",English,1.0,83.0,2020-12-08,Capacity: 256GBColor: Space Gray,256GB,Space Gray
6,r369p84htoa90a,Opened my brand new $1000++ computer and the entire screen was cracked and destroyed. Awesome! Thanks Amazon.,Opened my brand new $1000++ computer and the entire screen was cracked and destroyed. Awesome! Thanks Amazon.,English,1.0,72.0,2021-02-06,Capacity: 256GBColor: Space Gray,256GB,Space Gray
7,r25lsfbr6a6mz,"I wanted a new MacBook since it's been several years since I got my last Mac and the battery was going bad.With a delicious gold color and an overall thin, sleek design, this computer is for those who want their computer to look a bit more ""fancy"" than other options on the market.With the M1 chip, everything is extremely fast. I was able to set up this new machine with 10 minutes.I am not sure if I would recommend this machine to those who have recently upgraded to a Mac (2017 to now) but if it's been several years and you want to splurge, go for this.As a writer, the keyboard is so smooth and I feel like I can type more words per minute on this machine.My only complaint is the webcam, while better, is still not up to par to other computer cameras on the market. FaceTime looks a bit grainy still and Photo Booth is just a joke. The quality barely looks different than recent models.Overall, this is a great addition to the Mac family. I look forward to see how Apple utilizes the M1 chip in the future.83/100","I wanted a new MacBook since it's been several years since I got my last Mac and the battery was going bad.With a delicious gold color and an overall thin, sleek design, this computer is for those who want their computer to look a bit more ""fancy"" than other options on the market.With the M1 chip, everything is extremely fast. I was able to set up this new machine with 10 minutes.I am not sure if I would recommend this machine to those who have recently upgraded to a Mac (2017 to now) but if it's been several years and you want to splurge, go for this.As a writer, the keyboard is so smooth and I feel like I can type more words per minute on this machine.My only complaint is the webcam, while better, is still not up to par to other computer cameras on the market. FaceTime looks a bit grainy still and Photo Booth is just a joke. The quality barely looks different than recent models.Overall, this is a great addition to the Mac family. I look forward to see how Apple utilizes the M1 chip in the future.83/100",English,4.0,64.0,2020-12-18,Capacity: 256GBColor: Gold,256GB,Gold
8,r1f30g7rkd6pa3,"I purchased for my son to use for school, it stopped working after two weeks, I spent the past two weeks working with Apple who can't get it to function.  I contacted Amazon to replace, they have refused to replace and continue to re-direct me to Apple.  Don't buy an Apple computer from Amazon, they will not replace it even if defective.","I purchased for my son to use for school, it stopped working after two weeks, I spent the past two weeks working with Apple who can't get it to function.  I contacted Amazon to replace, they have refused to replace and continue to re-direct me to Apple.  Don't buy an Apple computer from Amazon, they will not replace it even if defective.",English,1.0,61.0,2021-02-28,Capacity: 256GBColor: Space Gray,256GB,Space Gray
9,r1mwmtk0j1ay1q,"I jumped out of the “Ecosystem” a little while back. Last had a MacBook Pro 13” in about 2015 when we had real ports. I realize those days aren’t coming back and it’s #HubLife or #NoLife. But I’ve been underwhelmed with Apples offerings for a minute.When I started reading up and watching vids on the new M1 I was sold. I’m all in now. This Air is an absolute unit of a machine. I really see no reason for anyone to get the Pro, unless you’re getting the soon to be released updated 16” pro. This bad boy will do all that most people need.Let me say first off, the battery life is phenomenal. I can take it on the go and use it all day with no issues at all. I didn’t even pack my charger with me today. I can carry it in a simple sleeve and I’m good to go. Plus it’s lighter than the pro as well.Performance is spectacular. It runs circles around anything else I have that’s windows based. In testing, I’ve seen it surpass or hold its own, against prior MacBook Pro models. Even those with dedicated graphics.For the majority of people, this is going to be their go to laptop. What you get for an entry level Mac is stellar. This is my recommendation for anyone outside of a hardcore video/photo editor. But even then, in a pinch it will get the job done.","I jumped out of the “Ecosystem” a little while back. Last had a MacBook Pro 13” in about 2015 when we had real ports. I realize those days aren’t coming back and it’s #HubLife or #NoLife. But I’ve been underwhelmed with Apples offerings for a minute.When I started reading up and watching vids on the new M1 I was sold. I’m all in now. This Air is an absolute unit of a machine. I really see no reason for anyone to get the Pro, unless you’re getting the soon to be released updated 16” pro. This bad boy will do all that most people need.Let me say first off, the battery life is phenomenal. I can take it on the go and use it all day with no issues at all. I didn’t even pack my charger with me today. I can carry it in a simple sleeve and I’m good to go. Plus it’s lighter than the pro as well.Performance is spectacular. It runs circles around anything else I have that’s windows based. In testing, I’ve seen it surpass or hold its own, against prior MacBook Pro models. Even those with dedicated graphics.For the majority of people, this is going to be their go to laptop. What you get for an entry level Mac is stellar. This is my recommendation for anyone outside of a hardcore video/photo editor. But even then, in a pinch it will get the job done.",English,5.0,42.0,2021-01-11,Capacity: 256GBColor: Space Gray,256GB,Space Gray
